2026-09-07 09:33:06.275 | 8b9ddb0f-08b5-4a26-8d77-59b0ebf06640 | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected.pdf
2026-09-07 09:33:06.275 | 8b9ddb0f-08b5-4a26-8d77-59b0ebf06640 | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:33:06.308 | 8b9ddb0f-08b5-4a26-8d77-59b0ebf06640 | INFO | pdf_operations.py | 47 | PDF_OPEN_SUCCESS | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected.pdf
2026-09-07 09:33:06.572 | 8b9ddb0f-08b5-4a26-8d77-59b0ebf06640 | INFO | main.py | 81 | TASK_COMPLETED | pdf_extraction
2026-09-07 09:33:06.572 | 8b9ddb0f-08b5-4a26-8d77-59b0ebf06640 | INFO | main.py | 82 | RESPONSE_SENT | status_code=200
2026-09-07 09:33:08.611 | 059548bd-6699-4c99-a716-4dcfecb985fb | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:08.611 | 059548bd-6699-4c99-a716-4dcfecb985fb | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\lattice_table.pdf
2026-09-07 09:33:08.611 | 059548bd-6699-4c99-a716-4dcfecb985fb | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:33:08.612 | 059548bd-6699-4c99-a716-4dcfecb985fb | INFO | pdf_operations.py | 47 | PDF_OPEN_SUCCESS | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\lattice_table.pdf
2026-09-07 09:33:09.998 | 059548bd-6699-4c99-a716-4dcfecb985fb | INFO | main.py | 81 | TASK_COMPLETED | pdf_extraction
2026-09-07 09:33:09.998 | 059548bd-6699-4c99-a716-4dcfecb985fb | INFO | main.py | 82 | RESPONSE_SENT | status_code=200
2026-09-07 09:33:12.040 | 2e339a83-387c-4cd2-9d21-289a519cba1a | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:12.040 | 2e339a83-387c-4cd2-9d21-289a519cba1a | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\stream_table.pdf
2026-09-07 09:33:12.040 | 2e339a83-387c-4cd2-9d21-289a519cba1a | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:33:12.041 | 2e339a83-387c-4cd2-9d21-289a519cba1a | INFO | pdf_operations.py | 47 | PDF_OPEN_SUCCESS | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\stream_table.pdf
2026-09-07 09:33:13.358 | 2e339a83-387c-4cd2-9d21-289a519cba1a | INFO | main.py | 81 | TASK_COMPLETED | pdf_extraction
2026-09-07 09:33:13.359 | 2e339a83-387c-4cd2-9d21-289a519cba1a | INFO | main.py | 82 | RESPONSE_SENT | status_code=200
2026-09-07 09:33:15.397 | e7e7d584-3055-4d8c-9268-11a8bca8a05d | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:15.397 | e7e7d584-3055-4d8c-9268-11a8bca8a05d | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected_with_table.pdf
2026-09-07 09:33:15.397 | e7e7d584-3055-4d8c-9268-11a8bca8a05d | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:33:15.430 | e7e7d584-3055-4d8c-9268-11a8bca8a05d | INFO | pdf_operations.py | 47 | PDF_OPEN_SUCCESS | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected_with_table.pdf
2026-09-07 09:33:15.688 | e7e7d584-3055-4d8c-9268-11a8bca8a05d | INFO | main.py | 81 | TASK_COMPLETED | pdf_extraction
2026-09-07 09:33:15.688 | e7e7d584-3055-4d8c-9268-11a8bca8a05d | INFO | main.py | 82 | RESPONSE_SENT | status_code=200
2026-09-07 09:33:17.722 | 738a3695-1359-458b-af7b-2ed7eb9856d8 | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:17.722 | 738a3695-1359-458b-af7b-2ed7eb9856d8 | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\does_not_exist.pdf
2026-09-07 09:33:19.765 | ff1ab564-0422-4a69-9392-6fae2a06cefe | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:19.765 | ff1ab564-0422-4a69-9392-6fae2a06cefe | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\corrupted.pdf
2026-09-07 09:33:19.765 | ff1ab564-0422-4a69-9392-6fae2a06cefe | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
